ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
113,Temperature,2019,1,6,2019-01-06,28079113_83_98_19_01_06,92.04166666666667,158.0,49.0,ºC
111,Temperature,2019,1,6,2019-01-06,28079111_83_98_19_01_06,229.16666666666666,960.0,43.0,ºC
56,Precipitation,2019,1,6,2019-01-06,28079056_89_98_19_01_06,2.0195833333333333,2.65,1.81,l/m^2
59,Temperature,2019,1,6,2019-01-06,28079059_83_98_19_01_06,86.79166666666667,203.0,33.0,ºC
108,Temperature,2019,1,6,2019-01-06,28079108_83_98_19_01_06,17.708333333333332,34.0,7.0,ºC
108,Precipitation,2019,1,6,2019-01-06,28079108_89_98_19_01_06,130.45833333333334,305.0,31.0,l/m^2
36,Temperature,2019,1,6,2019-01-06,28079036_83_98_19_01_06,228.75,854.0,36.0,ºC
24,Precipitation,2019,1,6,2019-01-06,28079024_89_98_19_01_06,95.91666666666667,490.0,3.0,l/m^2
58,Temperature,2019,1,6,2019-01-06,28079058_83_98_19_01_06,6.255416666666665,23.22,0.91,ºC
35,Temperature,2019,1,6,2019-01-06,28079035_83_98_19_01_06,1.8204166666666668,2.25,1.69,ºC
106,Precipitation,2019,1,6,2019-01-06,28079106_89_98_19_01_06,121.375,655.0,2.0,l/m^2
106,Temperature,2019,1,6,2019-01-06,28079106_83_98_19_01_06,27.166666666666668,96.0,6.0,ºC
104,Precipitation,2019,1,6,2019-01-06,28079104_89_98_19_01_06,92.45833333333333,424.0,1.0,l/m^2
38,Temperature,2019,1,6,2019-01-06,28079038_83_98_19_01_06,276.0416666666667,1247.0,45.0,ºC
18,Temperature,2019,1,6,2019-01-06,28079018_83_98_19_01_06,0.20124999999999996,0.4,0.09,ºC
107,Precipitation,2019,1,6,2019-01-06,28079107_89_98_19_01_06,90.125,243.0,42.0,l/m^2
109,Temperature,2019,1,6,2019-01-06,28079109_83_98_19_01_06,28.208333333333332,59.0,12.0,ºC
54,Precipitation,2019,1,6,2019-01-06,28079054_89_98_19_01_06,1.2166666666666666,6.6,0.1,l/m^2
102,Precipitation,2019,1,6,2019-01-06,28079102_89_98_19_01_06,13.416666666666666,48.0,1.0,l/m^2
112,Temperature,2019,1,6,2019-01-06,28079112_83_98_19_01_06,38.25,83.0,22.0,ºC
59,Precipitation,2019,1,6,2019-01-06,28079059_89_98_19_01_06,77.29166666666667,200.0,19.0,l/m^2
103,Temperature,2019,1,6,2019-01-06,28079103_83_98_19_01_06,72.54166666666667,144.0,38.0,ºC
110,Temperature,2019,1,6,2019-01-06,28079110_83_98_19_01_06,0.4041666666666666,0.8,0.1,ºC
24,Temperature,2019,1,6,2019-01-06,28079024_83_98_19_01_06,14.539166666666667,52.85,2.83,ºC
114,Temperature,2019,1,6,2019-01-06,28079114_83_98_19_01_06,1.5958333333333332,8.1,0.4,ºC
54,Temperature,2019,1,6,2019-01-06,28079054_83_98_19_01_06,8.877916666666668,21.01,3.79,ºC
107,Temperature,2019,1,6,2019-01-06,28079107_83_98_19_01_06,0.6375,1.2,0.4,ºC
104,Temperature,2019,1,6,2019-01-06,28079104_83_98_19_01_06,174.75,517.0,50.0,ºC
115,Temperature,2019,1,6,2019-01-06,28079115_83_98_19_01_06,4.537916666666667,16.68,1.28,ºC
56,Temperature,2019,1,6,2019-01-06,28079056_83_98_19_01_06,52.458333333333336,144.0,16.0,ºC
36,Temperature,2019,1,7,2019-01-07,28079036_83_98_19_01_07,1.8875000000000002,5.5,0.6,ºC
35,Temperature,2019,1,7,2019-01-07,28079035_83_98_19_01_07,7.687500000000001,43.3,0.6,ºC
113,Temperature,2019,1,7,2019-01-07,28079113_83_98_19_01_07,66.625,102.0,36.0,ºC
102,Precipitation,2019,1,7,2019-01-07,28079102_89_98_19_01_07,31.916666666666668,70.0,15.0,l/m^2
114,Temperature,2019,1,7,2019-01-07,28079114_83_98_19_01_07,17.625,42.0,10.0,ºC
107,Precipitation,2019,1,7,2019-01-07,28079107_89_98_19_01_07,292.0416666666667,625.0,107.0,l/m^2
38,Temperature,2019,1,7,2019-01-07,28079038_83_98_19_01_07,1.8583333333333336,3.9,0.7,ºC
107,Temperature,2019,1,7,2019-01-07,28079107_83_98_19_01_07,161.95833333333334,345.0,41.0,ºC
4,Temperature,2019,1,7,2019-01-07,28079004_83_98_19_01_07,62.291666666666664,174.0,3.0,ºC
59,Temperature,2019,1,7,2019-01-07,28079059_83_98_19_01_07,72.375,100.0,42.0,ºC
103,Precipitation,2019,1,7,2019-01-07,28079103_89_98_19_01_07,6.025000000000001,14.8,1.7,l/m^2
111,Temperature,2019,1,7,2019-01-07,28079111_83_98_19_01_07,1.6041666666666667,3.3,0.6,ºC
102,Temperature,2019,1,7,2019-01-07,28079102_83_98_19_01_07,13.75,26.0,7.0,ºC
56,Precipitation,2019,1,7,2019-01-07,28079056_89_98_19_01_07,1.2,3.0,0.4,l/m^2
8,Temperature,2019,1,7,2019-01-07,28079008_83_98_19_01_07,36.25,59.0,14.0,ºC
58,Temperature,2019,1,7,2019-01-07,28079058_83_98_19_01_07,9.55875,40.06,1.0,ºC
104,Temperature,2019,1,7,2019-01-07,28079104_83_98_19_01_07,6.583333333333333,17.9,1.7,ºC
110,Temperature,2019,1,7,2019-01-07,28079110_83_98_19_01_07,36.833333333333336,69.0,17.0,ºC
56,Temperature,2019,1,7,2019-01-07,28079056_83_98_19_01_07,13.791666666666666,20.0,9.0,ºC
112,Temperature,2019,1,7,2019-01-07,28079112_83_98_19_01_07,111.33333333333333,338.0,3.0,ºC
115,Temperature,2019,1,7,2019-01-07,28079115_83_98_19_01_07,94.16666666666667,266.0,6.0,ºC
18,Temperature,2019,1,7,2019-01-07,28079018_83_98_19_01_07,81.375,160.0,36.0,ºC
54,Precipitation,2019,1,7,2019-01-07,28079054_89_98_19_01_07,87.16666666666667,179.0,36.0,l/m^2
106,Precipitation,2019,1,7,2019-01-07,28079106_89_98_19_01_07,162.95833333333334,512.0,28.0,l/m^2
104,Precipitation,2019,1,7,2019-01-07,28079104_89_98_19_01_07,9.999166666666666,24.32,6.41,l/m^2
103,Temperature,2019,1,7,2019-01-07,28079103_83_98_19_01_07,84.20833333333333,176.0,34.0,ºC
106,Temperature,2019,1,7,2019-01-07,28079106_83_98_19_01_07,0.9833333333333334,2.3,0.4,ºC
109,Temperature,2019,1,7,2019-01-07,28079109_83_98_19_01_07,10.541666666666668,38.91,2.26,ºC
39,Precipitation,2019,1,7,2019-01-07,28079039_89_98_19_01_07,334.0,961.0,77.0,l/m^2
108,Temperature,2019,1,7,2019-01-07,28079108_83_98_19_01_07,17.041666666666668,41.0,3.0,ºC
108,Precipitation,2019,1,7,2019-01-07,28079108_89_98_19_01_07,258.0416666666667,697.0,43.0,l/m^2
54,Temperature,2019,1,7,2019-01-07,28079054_83_98_19_01_07,227.25,551.0,52.0,ºC
59,Precipitation,2019,1,7,2019-01-07,28079059_89_98_19_01_07,0.7000000000000001,1.5,0.3,l/m^2
111,Temperature,2019,1,8,2019-01-08,28079111_83_98_19_01_08,61.0,150.0,7.0,ºC
36,Temperature,2019,1,8,2019-01-08,28079036_83_98_19_01_08,199.95833333333334,617.0,40.0,ºC
108,Temperature,2019,1,8,2019-01-08,28079108_83_98_19_01_08,109.75,305.0,5.0,ºC
24,Precipitation,2019,1,8,2019-01-08,28079024_89_98_19_01_08,24.583333333333332,67.0,8.0,l/m^2
8,Temperature,2019,1,8,2019-01-08,28079008_83_98_19_01_08,62.125,107.0,27.0,ºC
18,Temperature,2019,1,8,2019-01-08,28079018_83_98_19_01_08,22.75,34.0,11.0,ºC
109,Temperature,2019,1,8,2019-01-08,28079109_83_98_19_01_08,155.5,337.0,46.0,ºC
113,Temperature,2019,1,8,2019-01-08,28079113_83_98_19_01_08,210.79166666666666,337.0,81.0,ºC
108,Precipitation,2019,1,8,2019-01-08,28079108_89_98_19_01_08,77.29166666666667,298.0,3.0,l/m^2
112,Temperature,2019,1,8,2019-01-08,28079112_83_98_19_01_08,82.91666666666667,145.0,43.0,ºC
