Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,702067;40,3811711;Calle  del Cristo de la Victoria,
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,705304;40,379369;Calle  del Cristo de la Victoria,
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,704289;40,379926;Calle  del Cristo de la Victoria,
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,703194;40,38052;Calle  del Cristo de la Victoria,
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,706769;40,379128;Calle  del Cristo de la Victoria,
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,703744;40,380228;Calle  del Cristo de la Victoria,
ORGANICA;VILLAVERDE;CALLE;de la Corte de Faraón;;-3,695605;40,361625;Calle  de la Corte de Faraón,
ORGANICA;VILLAVERDE;AVENIDA;de lVerbende lPaloma;;-3,695975;40,35677;Avenida de lVerbende lPaloma,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de lAlbufera;;-3,637595;40,386357;Avenida de lAlbufera,
ORGANICA;PUENTE DE VALLECAS;CALLE;de los Leoneses;;-3,647176;40,3811971;Calle  de los Leoneses,
ORGANICA;VILLAVERDE;CALLE;del Verde Viento;;-3,717732;40,3531231;Calle  del Verde Viento,
ENVASES;VILLAVERDE;CALLE;de Pan y Toros;;-3,6944169;40,3569971;Calle  de Pan y Toros,
ENVASES;CARABANCHEL;RONDA;de Don Bosco;;-3,752142;40,375713;Ronda  de Don Bosco,
ORGANICA;PUENTE DE VALLECAS;CALLE;de la Sierra del Valle;;-3,659074;40,3902311;Calle  de la Sierra del Valle,
ORGANICA;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,641501;40,3900471;Calle  de San Claudio,
ENVASES;CARABANCHEL;RONDA;de Don Bosco;;-3,752769;40,375202;Ronda  de Don Bosco,
ENVASES;PUENTE DE VALLECAS;CALLE;de Malgrat de Mar;;-3,641361;40,3930381;Calle  de Malgrat de Mar,
ORGANICA;VILLAVERDE;;;;-3,69574;40,3466971;,
ENVASES;VILLAVERDE;CALLE;de Benimamet;;-3,684056;40,3443811;Calle  de Benimamet,
ORGANICA;VILLA DE VALLECAS;CALLE;de la Sierra de Tornavacas;;-3,626921;40,3775291;Calle  de la Sierra de Tornavacas,
ORGANICA;VILLA DE VALLECAS;CAMINO; de Vasares;;-3,613008;40,38274;Camino  de Vasares,
ENVASES;VILLAVERDE;PASEO;de Plata y Castañar;;-3,7177251;40,3495531;Paseo  de Plata y Castañar,
ENVASES;PUENTE DE VALLECAS;CALLE;Convenio;;-3,671429;40,3885691;Calle  Convenio,
ENVASES;PUENTE DE VALLECAS;CALLE;Convenio;;-3,6723669;40,3941901;Calle  Convenio,
