IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Packaging/-3,7814505_40,4579818",Packaging,Env 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,27,-3.7814505,40.4579818,"Calle Berenisa, 27"
"Packaging/-3,8206384_40,469182",Packaging,Env 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Virgen de los olmos,1,-3.8206384,40.469182,"Calle Virgen de los olmos, 1"
"Organic/-3,7648052_40,4550044",Organic,O 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Paseo Rinconada,64,-3.7648052,40.4550044,"Paseo Rinconada, 64"
"Waste/-3,7648052_40,4550044",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Paseo Rinconada,64,-3.7648052,40.4550044,"Paseo Rinconada, 64"
"Packaging/-3,7648052_40,4550044",Packaging,Env 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Paseo Rinconada,64,-3.7648052,40.4550044,"Paseo Rinconada, 64"
"Packaging/-3,7648052_40,4550044",Packaging,Env 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Paseo Rinconada,64,-3.7648052,40.4550044,"Paseo Rinconada, 64"
"Packaging/-3,7008965_40,4252264",Packaging,Env 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Fuencarral,77,-3.7008965,40.4252264,"Calle Fuencarral, 77"
"Packaging/-3,7592871_40,4033941",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle San roberto,10,-3.7592871,40.4033941,"Calle San roberto, 10"
"Waste/-3,7012322_40,4631429",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Fereluz,15,-3.7012322,40.4631429,"Calle Fereluz, 15"
"Packaging/-3,7012322_40,4631429",Packaging,Env 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Fereluz,15,-3.7012322,40.4631429,"Calle Fereluz, 15"
"Organic/-3,7012322_40,4631429",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Fereluz,15,-3.7012322,40.4631429,"Calle Fereluz, 15"
"Organic/-3,7012322_40,4631429",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Fereluz,15,-3.7012322,40.4631429,"Calle Fereluz, 15"
"Waste/-3,7012322_40,4631429",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Fereluz,15,-3.7012322,40.4631429,"Calle Fereluz, 15"
"Waste/-3,7012322_40,4631429",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Fereluz,15,-3.7012322,40.4631429,"Calle Fereluz, 15"
"Packaging/-3,6953739_40,4611065",Packaging,Env 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Francisco gervas,19,-3.6953739,40.4611065,"Calle Francisco gervas, 19"
"Waste/-3,7160908_40,4453183",Waste,Res 800,1,1,Chamberí,http://www.wikidata.org/entity/Q1763370,Calle Loma,1,-3.7160908,40.4453183,"Calle Loma, 1"
"Organic/-3,7101025_40,411283",Organic,O 800,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Cebada,9,-3.7101025,40.411283,"Plaza Cebada, 9"
"Organic/-3,7101025_40,411283",Organic,O 800,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Cebada,9,-3.7101025,40.411283,"Plaza Cebada, 9"
"Waste/-3,6942937_40,4574671",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Orense,48,-3.6942937,40.4574671,"Calle Orense, 48"
"Waste/-3,6942937_40,4574671",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Orense,48,-3.6942937,40.4574671,"Calle Orense, 48"
"Waste/-3,7186347_40,4722703",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle La hiruela,2,-3.7186347,40.4722703,"Calle La hiruela, 2"
"Waste/-3,8330829_40,4735912",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Avenida Victoria,67,-3.8330829,40.4735912,"Avenida Victoria, 67"
"Packaging/-3,7034639_40,4865875",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Alfredo marquerie,43,-3.7034639,40.4865875,"Calle Alfredo marquerie, 43"
"Packaging/-3,7034639_40,4865875",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Alfredo marquerie,43,-3.7034639,40.4865875,"Calle Alfredo marquerie, 43"
"Waste/-3,6997042_40,4611617",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Marques de viana,13,-3.6997042,40.4611617,"Calle Marques de viana, 13"
"Waste/-3,7315775_40,4121133",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Antonio zamora,69,-3.7315775,40.4121133,"Calle Antonio zamora, 69"
"Organic/-3,7310446_40,4067912",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Campillo,2,-3.7310446,40.4067912,"Calle Campillo, 2"
"Waste/-3,7795912_40,4584152",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,5,-3.7795912,40.4584152,"Calle Berenisa, 5"
"Organic/-3,7795912_40,4584152",Organic,O 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,5,-3.7795912,40.4584152,"Calle Berenisa, 5"
