ANIO,MES,FECHA,ID,TIPO_EDIFICIO,EDIFICIO,URI_EDIFICIO,TIPO_DE_VIA,NOMBRE_DE_LA_CALLE,VIA,NUMERO_DEL_EDIFICIO,CODIGO_POSTAL,DISTRITO,URI_DISTRITO,CODIGO_DISTRITO,BARRIO,URI_BARRIO,CODIGO_BARRIO,POBLACION,COORDENADA_X,COORDENADA_Y,TIPO,CLASE,UNIDADES,CONSUMO
2021,4,2021-04,267,Centros culturales,CC_Santa_Petronila,,CALLE,MARIA MARTINEZ OVIOL,CALLE_MARIA_MARTINEZ_OVIOL,12,28021,VILLAVERDE,Villaverde_(Madrid),17,LOS_ROSALES,Los_Rosales_(Madrid),174,Madrid,441283.64,4466931.82,Externo,Gas,m3/h,0
2021,4,2021-04,1069,Centros culturales,CC_Sara_Montiel,,CARRETERA,BOADILLA DEL MONTE,CARRETERA_BOADILLA_DEL_MONTE,40,28024,LATINA,Latina_(Madrid),10,CAMPAMENTO,Campamento_(Madrid),105,Madrid,434237.85,4472394.47,Externo,Energia activa,kWh,10949
2021,4,2021-04,1069,Centros culturales,CC_Sara_Montiel,,CARRETERA,BOADILLA DEL MONTE,CARRETERA_BOADILLA_DEL_MONTE,40,28024,LATINA,Latina_(Madrid),10,CAMPAMENTO,Campamento_(Madrid),105,Madrid,434237.85,4472394.47,Externo,Energia reactiva,kVAr,1619.3
2021,4,2021-04,1763,Bibliotecas,CC_Valdebernardo_y_Biblioteca_Francisco_Ayala,Q85697910,BULEVAR,INDALECIO PRIETO,BULEVAR_INDALECIO_PRIETO,21,28032,VICALVARO,Vicálvaro,19,VALDEBERNARDO,Valdebernardo_(Madrid),192,Madrid,447292.76,4472313.76,Procesado,Energia activa,kWh,4790.762
2021,4,2021-04,1763,Bibliotecas,CC_Valdebernardo_y_Biblioteca_Francisco_Ayala,Q85697910,BULEVAR,INDALECIO PRIETO,BULEVAR_INDALECIO_PRIETO,21,28032,VICALVARO,Vicálvaro,19,VALDEBERNARDO,Valdebernardo_(Madrid),192,Madrid,447292.76,4472313.76,Procesado,Gas,m3/h,720.5796
2021,4,2021-04,1763,Centros culturales,CC_y_CM_San_Juan_Bautista,,CALLE,TREVIANA,CALLE_TREVIANA,1,28043,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,SAN_JUAN_BAUTISTA,San_Juan_Bautista_(Madrid),156,Madrid,444188.23,4478177.39,Externo,Energia activa,kWh,5071.2
2021,4,2021-04,1763,Centros culturales,CC_y_CM_San_Juan_Bautista,,CALLE,TREVIANA,CALLE_TREVIANA,1,28043,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,SAN_JUAN_BAUTISTA,San_Juan_Bautista_(Madrid),156,Madrid,444188.23,4478177.39,Externo,Energia reactiva,kVAr,236.4
2021,4,2021-04,853,Centros culturales,CC/BPM_Gloria_Fuertes,Q85697917,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,179,28042,BARAJAS,Barajas_(Madrid),21,CORRALEJOS,Corralejos_(Madrid),215,Madrid,449662.16,4479050.27,Procesado,Energia activa,kWh,3304.444
2021,4,2021-04,853,Centros culturales,CC/BPM_Gloria_Fuertes,Q85697917,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,179,28042,BARAJAS,Barajas_(Madrid),21,CORRALEJOS,Corralejos_(Madrid),215,Madrid,449662.16,4479050.27,Procesado,Gas,m3/h,1558.74
2021,4,2021-04,1119,Centros mixtos,CDI_Arganzuela,Q16545668,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440987.11,4472682.14,Externo,Energia activa,kWh,60849
