Número,Código Ayto,Centro,Calle,Portal nº,Latitud,Longitud,Uso del edificio,Distrito,Distrito URI from dbpedia,Ciudad,Ciudad URI from wikidata,Potencia KWp,Empresa instaladora,Puesta en servicio
57,2461.0,EI SABINA (MORATALAZ),C/ CAÑÓN DEL RIO LOBOS,4.0,40.405577,-3.630877,educativo,Moratalaz,http://dbpedia.org/resource/Category:Moratalaz,Madrid,https://www.wikidata.org/wiki/Q2807,6.0,CYOPSA,
58,1938.0,CDM MORATALAZ,C/ VALDEBERNARDO,2.0,40.3988585457233,-3.63243229021453,deportivo,Moratalaz,http://dbpedia.org/resource/Category:Moratalaz,Madrid,https://www.wikidata.org/wiki/Q2807,40.0,FERROVIAL,2019-08-02T14:00:00Z
59,1745.0,CSS  Y APARTAMENTOS TUTELADOS RETIRO,C/ JOSE MARTÍNEZ DE VELASCO,22.0,40.4146148994401,-3.66777459044681,social,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,12.5,OHL,2019-03-24T18:00:00Z
60,97.0,ESCUELAS AGUIRRE,C/ PIO BAROJA,4.0,40.4145497024899,-3.67435086047564,educativo,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,7.0,OHL,2019-03-02T18:00:00Z
61,124.0,CEIP JOSE CALVO SOTELO,AV/ CIUDAD DE BARCELONA,83.0,40.4008413126834,-3.67376625240067,educativo,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,7.0,OHL,2019-03-02T18:00:00Z
62,750.0,CEIP CIUDAD DE ROMA,C/ JUAN ESPLANDIÚ,2.0,40.4158639493011,-3.66520562618556,educativo,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,40.0,OHL,2019-03-02T18:00:00Z
63,2391.0,CMM LA ESTRELLA - CARMEN MARTÍN GAITE,C/ PEZ AUSTRAL,6.0,40.4133787186389,-3.66620904783224,social,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,12.5,DESCONOCIDO,2016-10-22T14:00:00Z
64,1035.0,CMM/CENTRO DIA/CSS LA GUINDALERA,C/ PILAR DE ZARAGOZA,28.0,40.4334991005029,-3.66911677846917,social,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,3.7,FERROVIAL,2018-09-19T14:00:00Z
65,35.0,CC Y BIBLIOTECA BUENAVISTA,AV DE LOS TOREROS,5.0,40.4320021057146,-3.67092933307802,cultural,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,7.15,FERROVIAL,2018-11-12T18:00:00Z
66,2074.0,CC JOSE LUIS LÓPEZ VÁZQUEZ,C/ FEBRERO,4.0,40.4468185923002,-3.57274116382091,cultural,San Blas-Canillejas,http://dbpedia.org/resource/Category:San_Blas-Canillejas,Madrid,https://www.wikidata.org/wiki/Q2807,15.0,DRAGADOS,2018-11-18T18:00:00Z
67,1974.0,JMD SAN BLAS,AV/ DE ARCENTALES,26.0,40.4344858647358,-3.6096102461466,administrativo,San Blas-Canillejas,http://dbpedia.org/resource/Category:San_Blas-Canillejas,Madrid,https://www.wikidata.org/wiki/Q2807,37.5,DRAGADOS,2019-07-02T14:00:00Z
68,2033.0,CDM ANTONIO DÍAZ MIGUEL,C/JOAQUIN DICENTA,1.0,40.4712542658614,-3.69532569789638,deportivo,Tetuán,http://dbpedia.org/resource/Tétouan,Madrid,https://www.wikidata.org/wiki/Q2807,25.0,,2018-01-14T18:00:00Z
69,2011.0,CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO,PLAZA DE DONOSO,5.0,40.4690329914409,-3.69766200679649,cultural,Tetuán,http://dbpedia.org/resource/Tétouan,Madrid,https://www.wikidata.org/wiki/Q2807,27.5,FERROVIAL,2018-12-10T18:00:00Z
70,1026.0,CSS SAN FILIBERTO,C/ SAN FILIBERTO,5.0,40.3858176778342,-3.71518188811652,social,Usera,http://dbpedia.org/resource/Usera,Madrid,https://www.wikidata.org/wiki/Q2807,12.5,AURA,2018-05-02T14:00:00Z
71,1096.0,CMM ORCASUR,AV ORCASUR,64.0,40.3680537472289,-3.70012965685136,social,Usera,http://dbpedia.org/resource/Usera,Madrid,https://www.wikidata.org/wiki/Q2807,8.2,AURA,2018-02-18T18:00:00Z
